mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd,cost_per_kg_payload
M000025,23-04-1960,1960,1960s,United States,Space Shuttle,NASA,56,27500,1,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Technology Demo,LEO,LEO,1812,1,94,599,457,57.4,Success,,0,0,121.9,67273.73068
M000026,15-03-1960,1960,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,681,1,29.7,624,236,32.4,Success,,0,0,182,267254.0382
M000027,16-08-1960,1960,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Technology Demo,LEO,LEO,1188,1,48.4,446,391,44.9,Success,,0,0,70.6,59427.60943
M000028,06-07-1960,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,3879,2,129.2,407,205,44.9,Partial Failure,,0,0,128.8,33204.43413
M000029,19-10-1960,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Moon Surface,11406,1,397.9,,,66.7,Success,30,3,0,62.6,5488.33947
M000030,19-12-1960,1960,1960s,United States,Titan II,USAF,31,3175,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,GEO,GEO,1818,1,82.4,35786,35782,0,Launch Failure,,0,0,192.3,105775.5776
M000031,16-07-1960,1960,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Technology Demo,LEO,LEO,2146,1,81.5,402,265,90.7,Success,,0,0,151.8,70736.25349
M000032,19-04-1960,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,4489,1,179.8,452,391,76.6,Mission Failure,,0,0,167.1,37224.32613
M000033,26-11-1960,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Lunar Orbit,500,1,25.3,,,3.1,Success,3,5,0,170.4,340800
M000034,21-12-1960,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,2385,1,61.7,580,506,86.9,Success,,0,0,119,49895.1782
M000035,12-06-1960,1960,1960s,United States,New Glenn,Blue Origin,98,45000,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Military/Reconnaissance,LEO,LEO,1983,1,77.7,377,361,75.5,Success,,0,0,92.1,46444.78064
M000036,17-01-1960,1960,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Technology Demo,LEO,LEO,1574,1,65.4,585,571,48.5,Success,,0,0,142.7,90660.73698
M000037,20-02-1960,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,ISS Docking,ISS,5865,1,190.4,477,325,51.6,Success,7,3,0,161.8,27587.38278
M000038,08-01-1960,1960,1960s,United States,Starship,SpaceX,120,150000,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,L2 Halo,2156,1,125.6,638,288,28.5,Success,,0,0,96.7,44851.57699
M000039,08-05-1960,1960,1960s,United States,Saturn V,NASA,111,140000,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Human Spaceflight,Lunar Transfer,Moon Surface,9855,1,429.6,,,45.8,Mission Failure,90,3,0,185,18772.19685
M000040,06-10-1960,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,1352,1,80.4,440,255,35.2,Success,,0,0,59.6,44082.84024
M000041,03-07-1961,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,8466,1,344.2,621,269,31.5,Success,30,6,0,60.1,7098.984172
M000042,23-09-1961,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Communications/Telecom,GEO,GEO,2147,1,111.1,35786,35735,0,Success,,0,0,334.4,155752.2124
M000043,14-02-1961,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,HEO,4375,1,205.5,611,302,36.1,Success,,0,0,268.6,61394.28571
M000044,16-08-1961,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,271,1,15.4,648,640,97.7,Success,,0,0,132.1,487453.8745
M000045,08-10-1961,1961,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,SSO,SSO,2228,1,64.7,600,594,98,Success,,0,0,69.4,31149.01257
M000046,27-08-1961,1961,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,HEO,4408,1,202.3,428,427,72.1,Success,,0,0,185,41969.14701
M000047,12-03-1961,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,5497,1,209.9,566,373,91.1,Success,,0,0,170.2,30962.3431
M000048,22-08-1961,1961,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,7080,1,282.5,35786,35779,0,Success,,0,0,141.3,19957.62712
M000049,08-08-1961,1961,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,HEO,1312,1,47.7,416,349,50.3,Success,,0,0,186.2,141920.7317
M000050,21-02-1961,1961,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Technology Demo,LEO,LEO,2630,1,116,452,442,52.1,Launch Failure,,0,0,139.8,53155.89354
M000051,14-01-1961,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,HEO,4024,1,218.7,411,301,87.2,Partial Failure,,0,0,174.9,43464.21471
M000052,05-12-1961,1961,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,589,1,34.7,389,298,68.6,Success,,0,0,123.4,209507.6401
M000053,27-07-1961,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Human Spaceflight,LEO,LEO,7036,1,265.1,534,425,50.3,Partial Failure,90,7,0,166.6,23678.22626
M000054,27-10-1961,1961,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,403,1,17.4,618,283,58.6,Success,,0,0,168.1,417121.5881
M000055,29-10-1961,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Science/Astronomy,LEO,HEO,1626,1,46.5,549,539,49.8,Success,,0,0,248.2,152644.5264
M000056,05-03-1961,1961,1960s,United States,New Glenn,Blue Origin,98,45000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,LEO,LEO,538,1,17.4,557,340,54,Launch Failure,,0,0,187.2,347955.3903
M000057,07-08-1962,1962,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,412,1,23.7,35786,35799,0,Success,,0,0,187,453883.4951
M000058,26-02-1962,1962,1960s,United States,Titan II,USAF,31,3175,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,Lunar Transfer,Lunar Orbit,3175,1,151.5,,,5.3,Success,30,3,0,162.8,51275.59055
M000059,10-09-1962,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,1214,1,62.6,35786,35700,0,Launch Failure,,0,0,127.9,105354.201
M000060,11-12-1962,1962,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Human Spaceflight,Lunar Transfer,Lunar Orbit,10022,1,554.4,,,34.2,Success,30,3,0,164.9,16453.80164
M000061,01-11-1962,1962,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,647,1,32.2,642,478,93.4,Partial Failure,,0,0,177.5,274343.1221
M000062,20-12-1962,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,500,1,16.5,35786,35774,0,Success,,0,0,133,266000
M000063,16-11-1962,1962,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,LEO,LEO,6100,1,234.3,627,558,87.7,Success,30,1,0,178.2,29213.11475
M000064,19-04-1962,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,500,1,12.6,35786,35699,0,Mission Failure,,0,0,142.9,285800
M000065,21-10-1962,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,500,1,15.1,486,313,54.4,Success,,0,0,57.6,115200
M000066,01-08-1962,1962,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,LEO,LEO,5650,1,217.3,452,421,43.4,Success,,0,0,148.2,26230.0885
M000067,15-07-1962,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,ISS Docking,ISS,8065,1,330.3,520,495,51.9,Partial Failure,90,3,0,121.7,15089.89461
M000068,07-10-1962,1962,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Communications/Telecom,GEO,GEO,1821,1,55.2,35786,35647,0,Success,,0,0,112.3,61669.41241
M000069,20-11-1962,1962,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,Lunar Transfer,Lunar Orbit,7642,1,218.2,,,6.9,Success,180,4,0,130.4,17063.59592
M000070,07-12-1962,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,500,2,15.6,35786,35679,0,Launch Failure,,0,0,92.7,185400
M000071,16-01-1962,1962,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,LEO,2195,1,57.7,411,250,32.9,Success,,0,0,158.2,72072.89294
M000072,09-05-1962,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,500,1,20.6,506,391,77.6,Launch Failure,,0,0,104.6,209200
M000073,09-08-1962,1962,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Weather/Meteorology,SSO,SSO,766,1,32.7,542,535,98.2,Success,,0,0,158.3,206657.9634
M000074,19-03-1962,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,L2 Halo,2267,1,133.3,642,282,76.7,Success,,0,0,136.2,60079.40009
M000075,05-03-1963,1963,1960s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,Lunar Transfer,Lunar Orbit,6992,1,275.8,,,82.2,Launch Failure,14,1,0,109.7,15689.35927
M000076,06-07-1963,1963,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,1056,1,59.2,515,253,84.6,Success,,0,0,118.3,112026.5152
M000077,29-03-1963,1963,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Human Spaceflight,ISS Docking,ISS,9864,1,573.8,617,261,51.8,Success,90,2,0,185,18755.06894
M000078,24-03-1963,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,5653,1,199.7,477,267,39.5,Launch Failure,,0,0,167.3,29594.90536
M000079,10-10-1963,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,4730,2,208.7,35786,35705,0,Mission Failure,,0,0,140.7,29746.30021
M000080,10-01-1963,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,LEO,LEO,1787,1,87.5,394,338,29.9,Success,,0,0,103.2,57750.4197
M000081,11-04-1963,1963,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Military/Reconnaissance,SSO,SSO,1912,1,54.9,787,762,98.2,Mission Failure,,0,0,71.7,37500
M000082,30-03-1963,1963,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,HEO,1703,1,90.8,444,297,64.2,Partial Failure,,0,0,132.5,77803.87551
M000083,08-02-1963,1963,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,900,1,46.3,498,456,67.1,Launch Failure,,0,0,192.9,214333.3333
M000084,12-12-1963,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,2462,3,118,603,601,98.5,Success,,0,0,65.4,26563.76929
M000085,09-01-1963,1963,1960s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,L2 Halo,846,1,33,624,448,86,Success,,0,0,346.6,409692.6714
M000086,09-10-1963,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,SSO,SSO,500,1,20.1,533,518,97.5,Partial Failure,,0,0,176.7,353400
M000087,21-10-1963,1963,1960s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Military/Reconnaissance,SSO,SSO,940,1,50.2,461,442,97.6,Launch Failure,,0,0,116.2,123617.0213
M000088,25-05-1963,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,1797,1,51.3,506,488,98.7,Success,,0,0,53.9,29994.43517
M000089,03-02-1963,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,500,1,15.9,648,449,29.5,Success,,0,0,97.4,194800
M000090,22-12-1963,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,1344,1,67.1,412,208,85.9,Success,,0,0,56.7,42187.5
M000091,31-01-1963,1963,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,GEO,GEO,823,1,32.7,35786,35787,0,Mission Failure,,0,0,65.8,79951.39733
M000092,21-04-1963,1963,1960s,United States,Titan II,USAF,31,3175,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Human Spaceflight,Lunar Transfer,Moon Surface,3175,1,151.8,,,74.6,Success,365,3,0,106.2,33448.8189
M000093,24-11-1963,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,7080,1,180.6,408,390,51.8,Mission Failure,180,4,0,173.6,24519.77401
M000094,15-10-1963,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,4730,1,127.7,563,398,39.8,Success,14,6,0,185.8,39281.18393
M000095,25-03-1963,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,3,23.5,435,216,30.6,Success,,0,0,68,136000
M000096,03-10-1963,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,6488,1,248.3,563,201,90.3,Success,90,3,0,159.7,24614.67324
M000097,10-02-1963,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,28.2,483,454,99,Success,,0,0,126.4,252800
M000098,23-04-1963,1963,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Weather/Meteorology,GEO,GEO,1769,1,55.9,35786,35615,0,Success,,0,0,285.4,161334.0871
M000099,09-01-1964,1964,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,LEO,LEO,3723,1,183.7,382,355,40.2,Success,,0,0,158.9,42680.6339
M000100,18-01-1964,1964,1960s,United States,Space Shuttle,NASA,56,27500,1,Retired,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,GEO,GEO,410,1,12.5,35786,35775,0,Success,,0,0,158.7,387073.1707
M000101,17-12-1964,1964,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,500,1,16.9,394,332,51.3,Success,180,7,0,88.5,177000
M000102,05-04-1964,1964,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,2442,1,134.7,462,354,64.6,Success,,0,0,126.1,51638.00164
M000103,11-06-1964,1964,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,ISS Docking,ISS,7017,1,176.4,355,212,51.6,Launch Failure,7,1,0,170.7,24326.63531
M000104,16-02-1964,1964,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Military/Reconnaissance,SSO,SSO,1803,1,73.2,747,737,98.9,Launch Failure,,0,0,133.5,74043.26123
M000105,03-05-1964,1964,1960s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Science/Astronomy,LEO,L2 Halo,589,1,18.2,449,252,51.4,Success,,0,0,247,419354.8387
M000106,03-06-1964,1964,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,1334,1,53.4,555,203,36.2,Mission Failure,,0,0,111.5,83583.2084
M000107,21-03-1964,1964,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,3311,1,149.5,583,518,85.8,Launch Failure,,0,0,160.7,48535.18574
